"День" "Молоко" "Хлеб" "Каша" "Йогурт" "Апельсины" "Огурцы"
"1" "понедельник" 30 31 38 11 35 50
"2" "вторник" 28 9 17 68 54 14
"3" "среда" 22 14 8 51 14 20
"4" "четверг" 28 9 37 32 59 41
"5" "пятница" 17 10 18 37 8 20
"6" "суббота" 65 9 19 43 23 8
"7" "воскресенье" 25 9 14 40 41 11
"8" "понедельник" 17 8 10 16 28 13
"9" "вторник" 38 55 12 31 10 11
"10" "среда" 16 15 48 12 13 20
"11" "четверг" 20 63 9 49 11 29
"12" "пятница" 9 52 28 13 13 8
"13" "суббота" 28 26 55 8 9 23
"14" "воскресенье" 8 9 8 20 9 42
"15" "понедельник" 20 54 9 17 31 20
"16" "вторник" 26 10 25 12 29 11
"17" "среда" 13 8 33 9 12 41
"18" "четверг" 15 8 14 11 20 20
"19" "пятница" 12 9 0 58 9 9
"20" "суббота" 22 9 33 17 14 25
"21" "воскресенье" 51 65 8 27 8 11
"22" "понедельник" 52 55 11 26 69 33
"23" "вторник" 8 21 11 26 16 50
"24" "среда" 51 13 17 16 24 9
"25" "четверг" 8 17 59 29 29 48
"26" "пятница" 18 32 48 64 48 48
"27" "суббота" 20 9 8 39 66 11
"28" "воскресенье" 9 23 49 8 32 15
"29" "понедельник" 34 10 8 47 56 32
"30" "вторник" 13 15 16 46 35 9
